episode,total_reward,total_fuel,avg_queue,avg_wait,avg_pressure,avg_delta_q,avg_delta_w,teleports,epsilon
0,-7890.233899667846,0,60.795,499.03046521817373,3.300499999999993,-0.046810685940308884,-0.08604650248261292,9,1.0
1,-8355.285315713145,0,64.475,457.53967888936364,3.5495000000000285,-0.04781178996008311,-0.07299347544280338,7,1.0
2,-8303.538244627569,0,64.2025,434.1889325219384,3.4763749999999773,-0.04528591933455397,-0.06929656524491304,7,1.0
3,-7505.87093512083,0,57.575,329.2396726260482,3.1872499999999833,-0.051028125427880856,-0.0861177121920722,3,1.0
4,-6786.258687368652,0,52.115,261.56179564499683,2.942250000000008,-0.04289048588709396,-0.07420826643434436,3,1.0
5,-5880.119107992318,0,44.4675,155.97714876121853,2.7188749999999926,-0.05232609484158555,-0.08647710279339656,1,1.0
6,-4602.151869767029,0,34.81,171.00821679961388,2.220750000000029,-0.03543916441070994,-0.07010685866462407,1,1.0
7,-4600.103555874606,0,35.07,174.07772247248954,2.1852500000000172,-0.028213418542647476,-0.05863063178377163,3,1.0
8,-4440.1464896145735,0,34.04,179.84365714547997,2.1400000000000134,-0.01906957851236233,-0.05100496516268711,3,1.0
9,-4365.752749150427,0,33.3925,187.47648400581286,2.1266250000000153,-0.019093376851761507,-0.057043389875696134,3,1.0
10,-4220.8628690232645,0,32.145,188.60762373194947,2.071000000000025,-0.02023215135719238,-0.0674111911677703,3,1.0
11,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
12,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
13,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
14,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
15,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
16,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
17,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
18,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
19,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
20,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
21,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
22,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
23,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
24,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
25,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
26,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
27,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
28,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
29,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
30,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
31,-4192.642275979077,0,31.97,189.36300725120793,2.0567500000000245,-0.017159730722271747,-0.07127642208475798,3,1.0
