episode,junction,action,greedy_count,random_count
0,J0_central,0,0,139
0,J0_central,1,0,142
0,J0_central,2,0,119
0,JN_north,0,0,132
0,JN_north,1,0,122
0,JN_north,2,0,146
0,JS_south,0,0,125
0,JS_south,1,0,134
0,JS_south,2,0,141
0,JW_west,0,0,138
0,JW_west,1,0,141
0,JW_west,2,0,121
0,JE_east,0,0,138
0,JE_east,1,0,135
0,JE_east,2,0,127
1,J0_central,0,0,124
1,J0_central,1,2,138
1,J0_central,2,7,129
1,JN_north,0,6,123
1,JN_north,1,10,126
1,JN_north,2,1,134
1,JS_south,0,7,115
1,JS_south,1,7,137
1,JS_south,2,2,132
1,JW_west,0,7,128
1,JW_west,1,5,118
1,JW_west,2,2,140
1,JE_east,0,2,118
1,JE_east,1,1,143
1,JE_east,2,4,132
2,J0_central,0,2,117
2,J0_central,1,14,123
2,J0_central,2,6,138
2,JN_north,0,8,134
2,JN_north,1,5,111
2,JN_north,2,3,139
2,JS_south,0,2,127
2,JS_south,1,10,132
2,JS_south,2,9,120
2,JW_west,0,10,131
2,JW_west,1,5,125
2,JW_west,2,9,120
2,JE_east,0,3,122
2,JE_east,1,8,124
2,JE_east,2,11,132
3,J0_central,0,1,107
3,J0_central,1,16,136
3,J0_central,2,14,126
3,JN_north,0,13,117
3,JN_north,1,11,119
3,JN_north,2,12,128
3,JS_south,0,3,121
3,JS_south,1,26,116
3,JS_south,2,9,125
3,JW_west,0,12,122
3,JW_west,1,13,138
3,JW_west,2,3,112
3,JE_east,0,2,121
3,JE_east,1,16,109
3,JE_east,2,29,123
4,J0_central,0,8,108
4,J0_central,1,13,120
4,J0_central,2,23,128
4,JN_north,0,23,135
4,JN_north,1,5,109
4,JN_north,2,17,111
4,JS_south,0,11,115
4,JS_south,1,21,127
4,JS_south,2,15,111
4,JW_west,0,22,117
4,JW_west,1,24,102
4,JW_west,2,8,127
4,JE_east,0,4,123
4,JE_east,1,17,120
4,JE_east,2,22,114
5,J0_central,0,6,123
5,J0_central,1,33,121
5,J0_central,2,18,99
5,JN_north,0,17,129
5,JN_north,1,10,112
5,JN_north,2,16,116
5,JS_south,0,14,106
5,JS_south,1,15,127
5,JS_south,2,22,116
5,JW_west,0,49,109
5,JW_west,1,5,126
5,JW_west,2,2,109
5,JE_east,0,11,106
5,JE_east,1,18,133
5,JE_east,2,20,112
6,J0_central,0,19,116
6,J0_central,1,26,110
6,J0_central,2,29,100
6,JN_north,0,16,108
6,JN_north,1,3,111
6,JN_north,2,39,123
6,JS_south,0,9,104
6,JS_south,1,42,111
6,JS_south,2,26,108
6,JW_west,0,26,125
6,JW_west,1,31,105
6,JW_west,2,9,104
6,JE_east,0,14,107
6,JE_east,1,16,123
6,JE_east,2,38,102
7,J0_central,0,15,116
7,J0_central,1,29,111
7,J0_central,2,19,110
7,JN_north,0,37,96
7,JN_north,1,19,123
7,JN_north,2,22,103
7,JS_south,0,27,131
7,JS_south,1,40,90
7,JS_south,2,17,95
7,JW_west,0,34,110
7,JW_west,1,19,102
7,JW_west,2,39,96
7,JE_east,0,30,92
7,JE_east,1,59,111
7,JE_east,2,10,98
8,J0_central,0,26,99
8,J0_central,1,26,114
8,J0_central,2,30,105
8,JN_north,0,27,99
8,JN_north,1,18,102
8,JN_north,2,41,113
8,JS_south,0,27,112
8,JS_south,1,35,91
8,JS_south,2,36,99
8,JW_west,0,27,103
8,JW_west,1,27,121
8,JW_west,2,20,102
8,JE_east,0,17,93
8,JE_east,1,47,107
8,JE_east,2,35,101
9,J0_central,0,29,95
9,J0_central,1,37,105
9,J0_central,2,26,108
9,JN_north,0,48,110
9,JN_north,1,9,102
9,JN_north,2,43,88
9,JS_south,0,18,94
9,JS_south,1,47,97
9,JS_south,2,47,97
9,JW_west,0,68,95
9,JW_west,1,29,108
9,JW_west,2,4,96
9,JE_east,0,33,110
9,JE_east,1,19,98
9,JE_east,2,47,93
10,J0_central,0,17,103
10,J0_central,1,46,81
10,J0_central,2,49,104
10,JN_north,0,30,114
10,JN_north,1,6,96
10,JN_north,2,63,91
10,JS_south,0,29,97
10,JS_south,1,48,100
10,JS_south,2,34,92
10,JW_west,0,44,102
10,JW_west,1,55,92
10,JW_west,2,19,88
10,JE_east,0,38,91
10,JE_east,1,39,101
10,JE_east,2,32,99
11,J0_central,0,16,90
11,J0_central,1,36,106
11,J0_central,2,48,104
11,JN_north,0,39,98
11,JN_north,1,15,100
11,JN_north,2,48,100
11,JS_south,0,41,95
11,JS_south,1,30,95
11,JS_south,2,34,105
11,JW_west,0,86,88
11,JW_west,1,5,105
11,JW_west,2,23,93
11,JE_east,0,65,108
11,JE_east,1,25,98
11,JE_east,2,35,69
12,J0_central,0,35,104
12,J0_central,1,27,110
12,J0_central,2,49,75
12,JN_north,0,60,87
12,JN_north,1,28,106
12,JN_north,2,33,86
12,JS_south,0,41,86
12,JS_south,1,62,94
12,JS_south,2,33,84
12,JW_west,0,74,91
12,JW_west,1,32,93
12,JW_west,2,23,87
12,JE_east,0,39,103
12,JE_east,1,33,82
12,JE_east,2,42,101
13,J0_central,0,37,86
13,J0_central,1,39,86
13,J0_central,2,52,100
13,JN_north,0,48,81
13,JN_north,1,29,73
13,JN_north,2,67,102
13,JS_south,0,45,106
13,JS_south,1,61,87
13,JS_south,2,16,85
13,JW_west,0,86,95
13,JW_west,1,27,86
13,JW_west,2,19,87
13,JE_east,0,55,95
13,JE_east,1,28,85
13,JE_east,2,45,92
14,J0_central,0,23,87
14,J0_central,1,57,86
14,J0_central,2,60,87
14,JN_north,0,42,84
14,JN_north,1,33,96
14,JN_north,2,56,89
14,JS_south,0,81,80
14,JS_south,1,38,90
14,JS_south,2,21,90
14,JW_west,0,52,85
14,JW_west,1,19,81
14,JW_west,2,64,99
14,JE_east,0,42,75
14,JE_east,1,47,90
14,JE_east,2,40,106
15,J0_central,0,40,90
15,J0_central,1,51,78
15,J0_central,2,48,93
15,JN_north,0,50,87
15,JN_north,1,21,86
15,JN_north,2,74,82
15,JS_south,0,69,76
15,JS_south,1,68,98
15,JS_south,2,16,73
15,JW_west,0,30,93
15,JW_west,1,50,86
15,JW_west,2,61,80
15,JE_east,0,62,75
15,JE_east,1,41,98
15,JE_east,2,65,59
16,J0_central,0,63,81
16,J0_central,1,38,83
16,J0_central,2,52,83
16,JN_north,0,71,76
16,JN_north,1,35,80
16,JN_north,2,56,82
16,JS_south,0,39,82
16,JS_south,1,92,80
16,JS_south,2,27,80
16,JW_west,0,48,74
16,JW_west,1,42,90
16,JW_west,2,71,75
16,JE_east,0,55,66
16,JE_east,1,43,86
16,JE_east,2,61,89
17,J0_central,0,26,75
17,J0_central,1,49,64
17,J0_central,2,96,90
17,JN_north,0,67,84
17,JN_north,1,46,84
17,JN_north,2,40,79
17,JS_south,0,54,78
17,JS_south,1,39,85
17,JS_south,2,56,88
17,JW_west,0,50,70
17,JW_west,1,39,85
17,JW_west,2,68,88
17,JE_east,0,102,72
17,JE_east,1,28,70
17,JE_east,2,50,78
18,J0_central,0,75,82
18,J0_central,1,63,79
18,J0_central,2,37,64
18,JN_north,0,41,90
18,JN_north,1,74,73
18,JN_north,2,41,81
18,JS_south,0,73,64
18,JS_south,1,68,72
18,JS_south,2,34,89
18,JW_west,0,55,70
18,JW_west,1,14,96
18,JW_west,2,86,79
18,JE_east,0,80,75
18,JE_east,1,52,75
18,JE_east,2,38,80
19,J0_central,0,47,83
19,J0_central,1,52,73
19,J0_central,2,73,72
19,JN_north,0,84,72
19,JN_north,1,34,84
19,JN_north,2,54,72
19,JS_south,0,64,63
19,JS_south,1,89,67
19,JS_south,2,51,66
19,JW_west,0,84,82
19,JW_west,1,5,84
19,JW_west,2,78,67
19,JE_east,0,61,79
19,JE_east,1,45,81
19,JE_east,2,67,67
20,J0_central,0,77,61
20,J0_central,1,70,77
20,J0_central,2,41,74
20,JN_north,0,56,74
20,JN_north,1,68,70
20,JN_north,2,61,71
20,JS_south,0,53,72
20,JS_south,1,94,82
20,JS_south,2,24,75
20,JW_west,0,57,84
20,JW_west,1,58,69
20,JW_west,2,62,70
20,JE_east,0,91,64
20,JE_east,1,69,80
20,JE_east,2,26,70
21,J0_central,0,50,78
21,J0_central,1,79,69
21,J0_central,2,48,76
21,JN_north,0,87,64
21,JN_north,1,59,81
21,JN_north,2,49,60
21,JS_south,0,54,71
21,JS_south,1,96,83
21,JS_south,2,33,63
21,JW_west,0,80,78
21,JW_west,1,34,63
21,JW_west,2,76,69
21,JE_east,0,104,76
21,JE_east,1,34,56
21,JE_east,2,57,73
22,J0_central,0,54,58
22,J0_central,1,87,61
22,J0_central,2,72,68
22,JN_north,0,44,66
22,JN_north,1,85,68
22,JN_north,2,67,70
22,JS_south,0,48,73
22,JS_south,1,83,62
22,JS_south,2,63,71
22,JW_west,0,41,68
22,JW_west,1,63,68
22,JW_west,2,91,69
22,JE_east,0,106,68
22,JE_east,1,42,71
22,JE_east,2,39,74
23,J0_central,0,45,71
23,J0_central,1,112,66
23,J0_central,2,45,61
23,JN_north,0,71,72
23,JN_north,1,66,71
23,JN_north,2,65,55
23,JS_south,0,126,66
23,JS_south,1,65,62
23,JS_south,2,29,52
23,JW_west,0,32,73
23,JW_west,1,25,53
23,JW_west,2,142,75
23,JE_east,0,91,74
23,JE_east,1,36,56
23,JE_east,2,78,65
24,J0_central,0,51,69
24,J0_central,1,68,57
24,J0_central,2,89,66
24,JN_north,0,103,50
24,JN_north,1,50,59
24,JN_north,2,79,59
24,JS_south,0,90,56
24,JS_south,1,64,68
24,JS_south,2,63,59
24,JW_west,0,83,70
24,JW_west,1,30,69
24,JW_west,2,78,70
24,JE_east,0,110,61
24,JE_east,1,59,61
24,JE_east,2,41,68
25,J0_central,0,73,64
25,J0_central,1,77,55
25,J0_central,2,69,62
25,JN_north,0,72,61
25,JN_north,1,27,57
25,JN_north,2,112,71
25,JS_south,0,70,68
25,JS_south,1,95,69
25,JS_south,2,45,53
25,JW_west,0,58,69
25,JW_west,1,57,54
25,JW_west,2,89,73
25,JE_east,0,106,44
25,JE_east,1,85,69
25,JE_east,2,42,54
26,J0_central,0,53,49
26,J0_central,1,88,62
26,J0_central,2,95,53
26,JN_north,0,44,59
26,JN_north,1,81,61
26,JN_north,2,99,56
26,JS_south,0,123,44
26,JS_south,1,60,66
26,JS_south,2,47,60
26,JW_west,0,80,66
26,JW_west,1,29,63
26,JW_west,2,103,59
26,JE_east,0,96,59
26,JE_east,1,26,56
26,JE_east,2,99,64
27,J0_central,0,37,54
27,J0_central,1,128,46
27,J0_central,2,61,74
27,JN_north,0,55,58
27,JN_north,1,141,57
27,JN_north,2,40,49
27,JS_south,0,79,69
27,JS_south,1,107,54
27,JS_south,2,30,61
27,JW_west,0,58,63
27,JW_west,1,33,53
27,JW_west,2,140,53
27,JE_east,0,172,60
27,JE_east,1,16,66
27,JE_east,2,44,42
28,J0_central,0,97,65
28,J0_central,1,90,67
28,J0_central,2,37,44
