episode,total_reward,total_fuel,avg_queue,avg_wait,avg_pressure,avg_delta_q,avg_delta_w,teleports,epsilon,avg_td_loss
0,-7290.502774179283,49387138.30337571,55.14,115.72169833604431,3.667999999999976,-0.06187686303496362,-0.08239824707941444,0,0.97,71.6310018745821
1,-7096.204639496573,48308957.270525016,53.7025,126.13152104036458,3.4711250000000065,-0.06449571950396724,-0.07988336431622767,0,0.9409,28.601169573664667
2,-7613.970675898874,48125574.91193418,57.73,139.88618384872055,3.6079999999999988,-0.06879054627794733,-0.0886015855746122,0,0.912673,14.004315397441387
3,-6013.730846742703,49498729.088576525,44.845,109.27516693884628,3.1287500000000152,-0.07126342873993867,-0.08441504930696171,0,0.8852928099999999,10.836967893242836
4,-7479.456489082004,48443783.98963601,56.465,134.60298858714248,3.5934999999999975,-0.07389023120837834,-0.1020605749300535,0,0.8587340256999999,8.942528094947338
5,-7018.879180964717,50785295.39775237,52.585,109.53352603658088,3.659749999999994,-0.07376506394493135,-0.09112761771580398,0,0.8329720049289999,7.84250605404377
6,-6271.2495095879785,48592798.22880897,47.0325,114.171398384747,3.163875000000009,-0.06636222631747862,-0.08826388107877926,0,0.8079828447811299,7.574859387278557
7,-6709.8812623183685,51193768.44316197,49.93,116.95822156481563,3.5217499999999857,-0.08239700814271883,-0.09820478950432265,0,0.783743359437696,6.923643508553505
8,-6260.875145910282,48407346.55984624,46.825,112.6269386976547,3.151500000000029,-0.07524161173759202,-0.08325405472152866,0,0.7602310586545651,6.788045035898685
9,-7033.826088695506,48286855.51799932,53.15,127.5736474153662,3.374500000000034,-0.06599603618377722,-0.09444298376659015,0,0.7374241268949281,6.795711055994034
10,-7444.033334379448,47104180.28390634,56.4025,137.1884574982309,3.579874999999974,-0.06550557938765582,-0.09196809955003275,0,0.7153014030880802,6.590671539306641
11,-6555.862930458552,48939849.45991822,49.365,120.848769192412,3.3289999999999975,-0.06018339199692124,-0.08383962604070196,0,0.6938423609954378,6.682215895056725
12,-7429.703168613153,49348501.36486961,56.0975,126.95558267387682,3.6311249999999604,-0.06970866979529305,-0.09410052706698048,0,0.6730270901655747,6.511498563885689
13,-6099.458518007533,53551609.253778495,45.1825,106.3868744938532,3.224874999999996,-0.08321169720910626,-0.09228034330287434,0,0.6528362774606075,6.801099862754345
14,-6534.812504064681,48674510.35580561,48.7775,120.4563584786608,3.2846249999999877,-0.07557522309895194,-0.0999799119268435,0,0.6332511891367892,6.765769561827183
15,-6276.376916486878,50441754.06141222,46.86,130.61624577278604,3.0800000000000005,-0.07857886071209992,-0.09562190198899065,0,0.6142536534626856,7.0785293573141095
16,-7213.828533001537,48180050.95324909,54.5525,115.70354344713833,3.6256249999999968,-0.06276538131066325,-0.08145147066590513,0,0.595826043858805,7.112497158646583
17,-6208.213199213042,49115920.14515533,46.3275,111.02577350243686,3.2408749999999817,-0.07080470245550517,-0.08763102139654087,0,0.5779512625430409,7.033473550677299
18,-6604.06068485107,47820253.81197528,49.35,120.16252098991974,3.2517499999999893,-0.07712894563795833,-0.11164595117633722,0,0.5606127246667496,7.104786930084228
19,-7365.996806221324,48508417.9677752,55.455,128.71582732971478,3.5224999999999698,-0.07614482610951244,-0.10674613445202102,0,0.5437943429267471,7.396499238312244
20,-7332.183613213215,49115272.60705079,55.35,125.93486273691677,3.6072499999999845,-0.06757883896202943,-0.0950398721285195,0,0.5274805126389447,7.0753112515807155
21,-7136.037881963694,49489640.135017104,53.4075,100.95943756665675,3.7298749999999927,-0.07704513133946367,-0.09199161229957842,0,0.5116560972597763,7.609290145635605
22,-6368.5950762003,47256729.60831155,47.59,119.9092546475477,3.0912499999999956,-0.07414005436284485,-0.10890956155341679,0,0.496306414341983,7.267000726759433
23,-6986.442248967002,48709380.59336967,52.62,117.7670311009326,3.46275000000002,-0.0711276713992907,-0.08854230031691515,0,0.48141722191172354,7.420686120986939
24,-6014.474663730372,52009049.39512791,44.4475,94.38782726193317,3.3808749999999974,-0.07560858324218725,-0.09715518150636836,0,0.4669747052543718,7.477296299338341
25,-6654.049221151978,51955242.63545902,49.5925,125.41843476442892,3.3968749999999956,-0.08345877513552245,-0.09622609386816317,0,0.4529654640967406,7.544441308677197
26,-6109.128718284455,50907521.50976035,45.5475,107.60590094045547,3.196374999999977,-0.07015434070796142,-0.09228953706046045,0,0.4393765001738384,7.4054988625645635
27,-6132.40826564795,49417705.20896576,45.785,108.59976892529785,3.078250000000003,-0.07198104824073698,-0.09751637118078622,0,0.42619520516862325,7.368888236284256
28,-6852.3412692655575,48962737.45497674,51.405,115.97212337091646,3.5599999999999805,-0.06801215866357828,-0.09472912157745136,0,0.4134093490135645,7.852651887536049
29,-6754.047852312247,50069333.681521505,50.465,122.18213836296474,3.3482500000000033,-0.07859819790346229,-0.10518997429211753,0,0.4010070685431576,7.643799564242363
30,-5883.571857130763,50644872.34980421,43.9675,109.91727340382478,2.9378750000000027,-0.06681838373352918,-0.09284872127445354,0,0.38897685648686287,8.232024570703507
31,-6598.0034750526265,49966745.38900067,49.03,118.48246865832368,3.4614999999999885,-0.08555363731663065,-0.0965065253344358,0,0.377307550792257,8.00359088242054
32,-7626.538365200588,51355490.50917068,57.2525,110.82931784103233,4.033874999999987,-0.07569708181549929,-0.09037367013076236,0,0.36598832426848926,7.716576023697853
33,-6162.607853052842,48000365.73667568,46.395,120.31009495134587,3.027749999999971,-0.06359152722556474,-0.08632501725327643,0,0.35500867454043455,8.186270680427551
34,-6190.823164348951,51573057.13436468,46.1,115.52722429229293,3.1989999999999914,-0.07529123963037163,-0.09547390208536033,0,0.3443584143042215,8.570615005791188
