time,phase,queue,wait,pressure,action
1.0,0,0,0.0,0.0,0
2.0,0,0,0.0,0.0,0
3.0,0,0,0.0,0.0,0
4.0,0,0,0.0,0.0,0
5.0,0,0,0.0,0.0,0
6.0,0,0,0.0,0.0,0
7.0,0,0,0.0,0.0,0
8.0,0,0,0.0,0.025,0
9.0,0,0,0.0,0.025,0
10.0,0,0,0.0,0.05,0
11.0,0,0,0.0,0.05,0
12.0,0,0,0.0,0.05,0
13.0,0,0,0.0,0.05,0
14.0,0,0,0.0,0.05,0
15.0,0,0,0.0,0.075,0
16.0,0,0,0.0,0.075,0
17.0,0,0,0.0,0.075,0
18.0,0,1,0.33,0.0625,0
19.0,0,1,0.67,0.0625,2
20.0,0,2,1.0,0.075,0
21.0,0,2,1.5,0.075,2
22.0,0,2,2.0,0.075,2
23.0,0,2,2.5,0.075,2
24.0,0,2,3.0,0.075,2
25.0,0,2,3.5,0.075,2
26.0,1,2,4.0,0.075,0
27.0,1,3,3.8,0.0875,0
28.0,1,3,4.4,0.0875,0
29.0,1,3,4.17,0.1125,0
30.0,1,4,4.83,0.1,0
31.0,1,4,4.71,0.125,0
32.0,2,2,1.8,0.1,0
33.0,2,0,0.0,0.125,0
34.0,2,0,0.0,0.125,0
35.0,2,0,0.0,0.125,1
36.0,2,0,0.0,0.125,0
37.0,2,0,0.0,0.15,0
38.0,2,0,0.0,0.125,0
39.0,2,0,0.0,0.125,0
40.0,2,0,0.0,0.1,0
41.0,2,0,0.0,0.1,0
42.0,2,0,0.0,0.075,0
43.0,2,0,0.0,0.075,0
44.0,2,0,0.0,0.075,0
45.0,2,0,0.0,0.1,0
46.0,2,0,0.0,0.075,0
47.0,2,0,0.0,0.075,0
48.0,2,0,0.0,0.075,0
49.0,2,0,0.0,0.075,0
50.0,2,0,0.0,0.1,0
51.0,2,0,0.0,0.075,0
52.0,2,0,0.0,0.075,0
53.0,2,0,0.0,0.075,0
54.0,2,0,0.0,0.075,0
55.0,2,0,0.0,0.075,0
56.0,2,0,0.0,0.1,0
57.0,2,0,0.0,0.075,0
58.0,2,0,0.0,0.075,0
59.0,2,0,0.0,0.075,0
60.0,2,0,0.0,0.075,0
61.0,2,0,0.0,0.1,0
62.0,2,0,0.0,0.1,0
63.0,2,0,0.0,0.1,0
64.0,2,0,0.0,0.1,0
